,SMARCA1,FMO4,HLF,AKAP12,LINC00862,SEMA4A,TUBB3,UGGT2,DBP,GSTM2,STRIP2,ATP13A5,ITGA9-AS1,SDR42E1,NKILA,PRSS12,TEF,PCDHA13,HTR1D,ITGB1-DT,PNMA1,ADAMTS6,LINC00346,FAM83A-AS1,BLOC1S4,TP53I3,VAV2,INSYN1-AS1,PLEKHG2,LINC02598,GVQW2,DNAJC10,CTTNBP2,IBTK,FAM117A,FUBP1,JPH1,WSCD2,SLC52A1,RHOF,ABL2,CBX7,ASTE1,COLCA1,TM9SF1,LRP10,HARS2,SLC9A9,COBLL1,FBXO4,FAM222B,IRX6,SLC15A2,SYNPR-AS1,PVR,SLC1A4,KLRG2,LINC00240,BZW1,train_mean_me1,train_mean_me2,train_mean_me3
TRAIN_0203,5.2692,1.8777,1.8707,7.1559,-0.7392,5.2672,3.8733,4.4337,3.4415,2.347,2.8223,-1.8511,0.0149,2.9446,2.3968,1.8986,3.7806,-0.828,1.0589,-0.7392,5.4653,0.757,1.6826,0.7104,4.7207,5.1802,6.3379,-6.8053,5.7457,-3.9979,-1.8511,7.2758,1.0712,5.9763,4.4313,5.8932,-0.1471,0.25,1.3085,3.0789,5.6549,4.5746,2.7703,2.0308,2.9679,8.1168,4.9683,3.2782,4.9871,3.6936,5.85,-1.0774,2.994,-0.828,5.5481,6.8813,-1.0239,-0.4654,7.31,-0.02571584,0.042696535,0.018390735
TRAIN_0204,6.3851,0.4458,3.3504,4.3778,0.3438,4.9596,3.1768,5.0761,3.2732,1.3625,1.3551,0.7493,1.1017,-0.6945,3.6978,-0.7258,4.8227,-3.1462,1.7635,-2.3757,5.6245,0.7493,0.7607,2.5196,4.0798,5.2902,5.72,-2.9857,5.728,-7.2336,-2.2794,6.0723,1.2702,6.4695,3.622,6.6135,5.7039,-0.5754,1.3847,3.9432,6.1655,4.9372,2.6103,2.3755,3.3026,8.7651,4.8927,2.4926,5.5017,3.5809,5.561,-2.8413,4.065,0.5929,5.3106,5.6388,4.0616,1.0928,6.9736,-0.044523381,-0.014514166,-0.041826005
TRAIN_0205,6.9619,0.0071,3.3168,5.4697,2.0173,4.7984,2.1561,5.4462,3.9108,2.4389,2.4776,-5.8755,-0.6403,3.1915,2.7719,1.067,4.9513,-3.5536,-3.373,-2.4161,5.2854,3.1008,2.1634,2.5353,4.0148,4.0801,5.4749,-5.8755,6.4392,-7.4605,-1.788,7.7324,0.6002,6.4768,3.5982,6.6289,1.9167,-0.1659,-2.7056,1.1652,5.7525,3.7928,2.2589,3.0699,2.92,8.3548,4.9708,2.6467,5.5817,2.3291,5.5686,-2.3312,1.7707,-2.251,6.0945,5.6182,-0.774,-2.251,7.4276,-0.045415385,-0.017406753,-0.06608516
TRAIN_0206,6.9969,2.3825,1.9143,4.9922,-2.5083,5.8235,5.5436,4.2511,3.1388,3.5909,0.3589,-0.3443,1.7396,0.4715,3.977,1.5666,4.3053,-2.8708,1.1249,-2.7396,5.0797,0.8917,3.3284,1.2721,5.4161,5.3863,6.4763,-7.2632,6.064,-4.0932,-1.6485,6.95,2.3753,5.7132,4.6716,6.9287,5.0952,-0.5217,-1.7713,2.6179,5.3453,4.172,2.7826,1.2721,3.9099,8.9169,5.1154,2.0966,5.948,3.3432,6.0186,-0.2079,3.6369,0.5377,5.0437,4.6605,-3.5627,-0.3207,7.1079,-0.025445336,-0.005923858,-0.03452459
TRAIN_0207,4.7782,3.2306,4.9707,3.1365,-1.0076,6.05,1.6905,4.3678,4.3105,3.1296,2.1827,0.3082,0.6762,3.9604,-0.2584,3.8377,4.8709,-4.9772,-3.1027,-3.7548,4.0516,-0.0544,-0.6314,-0.4124,2.9397,5.8234,5.6759,-3.7548,4.8957,-4.2402,-1.3527,7.4958,0.2323,5.7143,4.0275,6.0551,3.1296,-1.8073,1.5825,1.9014,5.4333,4.5844,2.6103,3.6558,2.9905,8.1366,4.9804,2.3296,5.0242,3.7105,5.1508,6.7395,4.4272,-3.7548,5.5022,5.6967,1.3144,0.4265,6.3554,-0.02644494,-0.001511804,0.01928862
TRAIN_0208,6.5924,1.0594,2.5709,3.9667,-1.5595,5.9146,3.3813,4.2248,4.4398,4.1777,2.8523,0.1816,1.5255,2.9854,1.086,7.0662,4.6121,0.6241,-1.1342,-5.1038,5.1484,-0.2131,3.3705,2.396,3.792,5.3346,5.7927,-5.1038,8.9932,-5.1038,-3.2294,6.5073,-0.46,6.2499,4.121,6.8709,4.0967,-1.8308,1.0323,3.2345,5.6723,4.1823,2.7686,6.3124,3.1831,8.4465,5.1873,2.3308,5.2192,3.081,6.4209,2.38,2.6488,0.3224,6.3047,5.1796,1.973,1.4559,7.3258,-0.035988016,-0.010411074,-0.060816954
TRAIN_0210,6.1242,2.2824,3.4897,4.7447,-2.9412,5.87,3.2946,4.2315,3.3725,4.1511,3.1937,-0.846,0.3136,3.069,0.894,2.2251,4.1395,-1.1152,2.3709,-2.1527,4.9847,0.7183,3.0319,1.0172,4.066,6.2014,5.769,-4.8156,5.752,-2.9412,-1.6457,7.4913,0.9123,6.083,4.278,6.5675,3.1825,-2.1527,1.6273,2.3307,5.7316,4.9049,2.9459,2.5795,2.7364,7.8831,5.5349,3.612,5.1106,3.879,5.9517,-0.7282,5.1886,0.5652,5.353,5.6054,1.1151,-0.0968,7.4332,-0.023176353,-0.019555158,0.001042153
TRAIN_0211,6.4535,3.2897,4.3737,4.0919,0.9752,5.9738,3.8123,3.5978,3.754,5.4349,0.4239,0.3871,1.4553,3.8192,2.6365,5.0656,4.7971,-0.6222,1.094,-2.3654,5.325,1.8149,2.1798,0.8045,4.7777,4.0732,5.6519,-6.889,5.3592,-2.8015,-1.1611,6.1429,1.6771,5.4236,4.5627,6.6007,1.5908,0.0768,3.5776,1.5246,4.7918,4.9756,3.329,3.9224,3.1892,8.4206,5.14,3.1292,5.0944,3.7647,4.953,0.9752,6.0748,-0.6602,5.2387,5.4765,-0.6992,1.1054,6.3111,-0.018772415,0.040104484,-0.007222616
TRAIN_0212,6.0991,2.1717,2.6612,4.1691,-2.1189,6.3898,0.2302,4.3782,4.62,6.2447,0.8375,1.7508,-0.0683,4.5755,1.1541,2.8039,5.8042,-4.1893,-1.2259,-3.7039,5.3656,-0.4452,-0.3615,-2.6044,4.2643,4.366,2.7579,-1.0194,4.5649,-1.4669,-0.3615,9.1786,1.7127,5.3456,4.9018,6.5757,4.0269,0.6077,0.6884,0.6486,5.0448,4.928,3.7426,2.8397,2.6711,7.5356,4.3676,3.9574,5.7663,5.1167,5.2515,1.3775,4.3568,-0.0355,5.2549,5.9345,1.9108,1.5386,7.7286,0.043334179,-0.021454413,0.063863533
TRAIN_0213,5.7335,3.1357,3.9985,5.7383,-1.9004,5.5934,2.9385,4.1262,3.1688,3.2171,0.5528,-0.3154,0.5275,4.2571,2.0867,4.2513,5.3846,-2.8333,-1.4347,-2.3858,5.3669,-0.0639,2.4043,-3.4853,3.3421,4.864,5.0643,-3.9708,5.0105,-1.6488,-0.4598,7.0006,2.0427,5.6921,4.0122,6.1747,3.0179,-0.2703,-0.2703,1.0736,5.0365,5.2255,3.4968,3.5945,3.1891,8.1184,4.2571,4.5219,5.0421,3.3421,4.28,1.1082,5.338,-3.1228,4.8475,6.1964,-0.1842,0.183,7.3994,0.020276082,0.012468362,0.010683839
TRAIN_0214,5.694,3.8143,2.4413,5.6673,-1.9356,5.6804,2.3401,4.2688,3.2088,3.6167,1.0974,0.6404,1.1104,4.3963,2.5926,4.6926,4.2365,-1.9356,-1.5612,-3.5206,5.0514,1.1487,1.9784,-1.0758,3.2387,4.4522,5.2287,-6.6905,5.5404,-2.2982,-0.4617,6.9307,1.6975,5.7344,3.7072,6.2022,2.7791,1.2103,1.003,1.1612,4.9912,4.8138,3.956,3.2179,2.771,7.6055,4.3573,3.8822,6.1528,4.2498,4.4838,1.6538,4.9637,-2.0467,4.7837,6.9888,0.9315,1.6975,7.2351,0.028039966,0.013286658,-0.003737472
TRAIN_0215,4.6824,1.2582,-0.4909,5.2456,-1.9117,4.5525,2.8047,3.7144,2.8873,4.3873,3.5488,1.6299,-0.1244,4.8641,3.8021,-0.5991,4.2288,-2.4736,5.011,-0.2077,6.0979,1.2268,2.7833,-0.7162,4.8166,6.406,6.3166,-6.8659,4.1751,-6.8659,-2.3423,7.3156,-1.2512,6.0325,3.3761,6.4112,2.7096,-4.544,2.346,3.7219,5.2371,4.349,3.1961,0.3533,3.8881,8.2187,4.6214,4.1064,4.9831,5.1443,5.2605,-4.544,3.4413,-2.618,5.6966,6.109,0.7561,-0.8886,7.2063,-0.021941785,0.047569908,0.021184147
TRAIN_0216,4.4861,2.5804,-1.569,2.8553,-2.5975,5.5041,2.4363,4.1244,3.693,5.777,2.1051,-3.541,1.2624,2.5152,0.6595,3.8821,5.1388,-0.4732,-2.8491,-1.219,5.97,-0.3466,1.4763,1.8112,5.5483,5.6829,8.1163,-4.9195,4.6591,-4.0715,-1.6267,7.1922,0.9534,5.2447,4.8291,7.2476,3.4992,0.1423,0.29,2.5931,5.488,3.2005,2.8394,2.5218,2.8044,7.8171,5.5389,5.1137,5.4636,4.5106,5.1377,0.9335,4.8675,-3.1539,6.8192,8.6539,3.2929,-0.9016,7.9727,0.038634451,0.018340032,0.02780665
TRAIN_0217,6.4415,2.6923,2.5855,2.6562,-1.608,6.6747,1.4352,3.7926,4.4215,3.8942,1.8372,-1.9595,1.5961,4.4914,0.6663,5.9856,5.0556,-1.1451,-1.7731,-4.0101,5.2881,-3.6476,-0.7514,-0.5137,5.0292,7.653,5.1107,-0.8867,5.56,-5.2325,-0.1881,6.0465,-1.3256,6.1027,5.2855,6.8375,6.0017,-3.6476,2.1627,2.2513,4.6928,4.1461,3.8452,2.8673,2.0984,7.6285,4.9951,3.5257,5.4092,4.9177,4.9741,-2.0626,5.4431,1.5791,5.377,3.3487,4.2799,1.3968,8.1943,-0.025452812,-0.015393029,0.012960184
TRAIN_0218,5.3538,2.1792,0.8652,2.3591,-5.903,4.8955,2.8216,4.0843,3.8061,1.5969,0.1194,-4.318,1.8718,2.9888,1.7337,-0.1216,5.5652,-1.655,0.4369,-3.581,5.465,-1.655,3.0599,1.4099,5.5773,6.2729,5.355,-2.733,4.7668,-3.581,-3.0956,6.2202,0.7553,5.4813,5.2398,6.0754,3.0189,-3.0956,2.4764,2.5524,4.293,4.2481,3.5829,1.5969,3.6497,8.8789,4.5534,1.6895,4.5718,5.7085,4.4042,-2.4435,2.7007,2.5191,4.6275,6.7868,1.7624,1.6127,8.0667,-0.028805442,0.006146023,-0.026989602
TRAIN_0219,5.98,2.387,3.3753,4.4649,-2.7239,4.7936,2.8443,3.9595,4.2368,2.8375,0.373,-1.5015,0.9517,1.183,1.6376,3.466,5.1743,-0.6084,0.4812,-2.4344,4.2849,0.1723,1.7428,0.1286,4.7671,4.811,5.3979,-3.5719,4.2342,-4.3088,-1.6459,6.322,3.0101,5.2979,3.9812,6.4028,0.9517,0.4461,2.8239,1.8544,4.9144,4.8058,2.6258,2.0662,2.8843,7.7767,5.3488,2.8711,5.0168,3.4483,5.5855,-0.2214,5.7121,-1.1389,4.8917,5.0362,1.9071,1.3446,6.6485,-0.019036127,0.068152999,0.031516717
TRAIN_0220,5.5466,1.8202,3.2716,3.0667,1.981,5.9555,4.5709,4.3657,2.9796,0.5651,4.125,-2.6792,0.8172,4.0298,1.808,3.4253,5.1479,-1.714,0.8884,-2.4277,5.435,0.1281,2.3272,1.92,4.5862,6.353,5.4789,-5.4866,4.6812,-4.7496,-1.8621,7.3022,0.3796,5.6033,3.2627,5.0798,1.4481,-1.1408,2.4888,2.8398,4.2997,2.8003,3.0119,1.8202,3.7716,8.766,4.3029,1.9536,3.939,4.4864,5.4861,0.5358,5.7038,0.6358,5.4605,5.787,2.4021,1.1034,7.7899,-0.038574244,-0.029542845,0.007775147
TRAIN_0221,5.4582,3.2446,4.996,4.4164,-4.2374,4.8498,3.7392,5.0727,3.7942,3.294,-0.0236,-0.1689,1.5955,4.4879,1.3509,1.1434,4.8308,-0.5871,1.5955,-3.7069,5.1022,-0.352,2.8512,0.3806,4.0205,5.5158,5.4222,-4.6,4.0226,-2.5493,-1.7926,6.7664,0.3138,6.1716,4.6631,6.1048,2.8179,0.8263,2.4522,2.1376,4.7119,5.1057,3.1898,3.3551,3.5123,8.2033,5.0621,3.7058,5.6359,4.0037,5.5192,0.5293,6.4846,1.0562,5.4509,6.1586,1.8477,0.6316,7.273,-0.017859079,0.027362393,-0.003747283
TRAIN_0222,6.0856,0.3824,-0.0362,11.0439,-2.4464,4.8189,4.8326,4.547,2.6872,1.641,4.0446,-6.6944,-1.3368,0.0199,1.8174,1.3113,2.1543,-5.1094,-0.3545,6.2881,4.8248,-0.3545,-0.0362,5.2674,4.9144,6.4393,6.234,-6.6944,6.2469,-6.6944,-3.5244,8.8977,-2.9939,6.4679,2.3418,6.5152,2.1913,-5.1094,-1.2025,4.7849,5.111,2.8621,1.3984,-0.6283,3.6555,8.8896,5.7514,2.6343,2.9763,3.9965,5.4601,-3.887,1.4089,-6.6944,5.9062,4.1073,-6.6944,0.0199,9.546,-0.058168482,-0.044682937,-0.062129884
TRAIN_0223,5.4148,0.4212,-0.7778,6.9999,1.1652,4.9857,2.8156,3.4311,2.7181,3.2585,3.1718,-6.9276,-0.819,3.8198,1.1223,1.306,2.6366,-1.6422,1.4518,3.5185,5.6416,0.4733,2.9808,4.253,5.2955,6.1564,6.2315,-5.3426,5.3552,-6.9276,-1.7983,8.1183,-1.9734,5.8187,3.647,6.3294,1.6908,-5.3426,1.4431,4.1698,4.2874,2.5743,3.1875,2.0752,2.538,7.6329,5.0393,2.9443,3.3567,3.5792,5.0153,-3.4681,0.5236,-4.6056,5.1509,5.2797,-0.1074,0.6499,9.2342,-0.047744449,0.005636184,-0.013722318
TRAIN_0224,7.1152,1.4042,5.3321,4.3597,-1.0983,5.9958,1.4262,4.0154,4.4075,3.9115,0.1595,-3.7474,1.0553,4.1032,2.9518,3.9537,4.9913,0.0506,0.3401,-3.1193,4.3796,0.8753,0.3246,0.3857,4.354,4.1347,5.1663,-4.3994,7.33,-1.5344,-2.8145,7.3201,-0.3613,5.4164,5.3311,6.1011,4.5601,-0.5774,1.5844,1.3207,4.7794,4.4175,2.5431,2.3343,3.2496,7.7955,4.7964,2.2132,5.6988,3.5473,5.55,-0.7639,4.3153,1.0459,5.8648,4.664,-1.0571,2.516,7.3033,-0.02342203,0.012066948,-0.062549168
TRAIN_0225,3.8885,3.3357,4.0322,3.9506,-3.6889,5.7619,1.9491,3.1962,4.4496,3.9331,0.6185,-0.9665,0.6474,2.7933,2.4362,1.914,5.1857,-2.104,2.2792,-3.6889,4.7196,0.8093,1.6545,1.3555,4.2264,4.4227,5.4398,-4.4259,5.0369,-1.4873,-0.8014,5.784,0.7306,4.9295,4.3761,5.5886,4.7298,0.329,1.8029,1.489,5.2436,4.5293,2.8189,4.7432,2.7997,7.2985,5.0025,2.0606,4.8005,3.479,5.2542,3.1864,3.999,0.6185,5.2016,5.3777,-0.4563,0.3642,6.5095,-0.013691855,-0.003242227,0.003403769
TRAIN_0226,5.3554,1.2258,3.2549,2.0498,-4.2661,6.0205,-1.2072,3.6468,4.3814,1.0193,2.6368,-3.0437,0.5919,3.4181,0.6247,3.6978,4.693,-4.2661,2.3339,-0.6416,3.7618,0.2987,3.552,2.8938,5.2542,4.1727,5.6383,-5.851,5.1054,-5.851,-2.1506,7.9881,-1.7636,5.8688,4.0178,6.4576,3.0827,-3.5291,0.5919,2.6043,4.6115,3.1405,2.9005,2.5541,2.4297,6.721,4.7442,1.8285,6.1675,4.3572,5.5779,-4.2661,3.5689,-0.8066,5.6642,6.8194,0.0797,-0.993,7.7089,-0.033354039,0.018574287,-0.018550277
TRAIN_0227,6.4957,2.0452,5.1261,5.1078,-1.0793,5.4976,-0.0298,4.3407,3.8531,3.8814,0.6543,-1.6475,0.437,0.9943,2.1984,3.5015,4.67,-3.6982,0.8074,-2.4181,4.5612,0.8432,3.8465,0.0944,3.8684,4.3548,5.544,-6.5055,5.0205,-6.5055,-1.0137,7.4861,1.4193,5.8363,4.8091,6.3311,2.574,-0.3558,1.8564,2.1055,5.6124,4.6436,3.354,1.9081,3.1897,8.1058,5.0117,3.3786,5.9231,3.9508,5.6502,-0.0626,5.717,-0.9509,5.5528,5.6163,2.3679,0.6941,7.0552,-0.027088882,-0.005370991,0.007671036
TRAIN_0228,6.4977,2.2788,3.7132,5.6746,-2.3376,5.0204,3.8311,4.4945,2.8672,0.6302,4.7087,-3.6178,-0.6972,3.3314,2.0627,2.0137,4.3256,0.8323,3.284,-0.2353,5.6831,0.5636,4.446,1.6247,3.4437,5.8225,6.2418,-6.4251,5.7773,-6.4251,-2.3376,7.2321,1.4266,6.5069,3.8169,6.6924,3.3546,-1.2958,0.6938,3.1804,5.5886,3.6742,2.622,2.379,3.2805,8.3493,4.862,3.0033,5.2255,2.8157,6.1972,1.4758,4.0935,-0.0501,5.9195,5.3092,0.8323,-1.4709,7.5344,-0.029782612,-0.023257133,0.024329576
TRAIN_0229,4.0741,2.2501,3.4164,3.5597,-6.012,4.9135,3.8874,4.0173,3.961,1.4392,2.1428,-1.0578,-1.4884,-0.5202,1.0433,0.9069,4.5607,-0.1791,4.8185,-4.427,5.718,-0.3973,3.8034,3.3609,4.6789,4.0473,6.1996,-1.4884,5.9813,-3.2047,-3.6901,6.7794,-1.3681,6.2615,2.6137,6.4187,5.2809,-3.6901,2.599,3.4247,6.3298,3.866,2.6498,-0.0347,2.7986,7.5256,5.4356,2.3054,3.7446,4.5944,5.5874,3.4122,1.9823,1.3889,6.7033,5.298,2.1327,-0.2306,8.3269,-0.036387576,0.033693334,-0.010872424
TRAIN_0230,7.2882,1.4198,-1.1283,3.5772,-2.4722,3.963,3.6962,4.1093,2.9227,2.8189,5.9666,-6.1727,-0.0229,-1.4178,4.3752,-3.3653,3.8975,-6.1727,4.4393,1.562,6.4862,-0.7464,4.4918,1.562,4.8914,5.1953,7.0707,-6.1727,5.3612,-4.5877,-3.0027,7.0608,-3.8507,5.5256,4.4649,6.7273,0.5138,-3.8507,1.3742,3.9502,6.7155,3.4658,2.7669,-2.2658,3.4476,8.2958,5.3786,1.5484,2.5856,2.9745,6.154,0.6218,2.8907,-3.0027,6.0389,3.4658,-1.9247,-0.2419,7.2887,-0.037570546,0.042059874,0.021108932
TRAIN_0231,6.1103,3.781,3.5238,3.4102,1.2052,6.5538,3.1631,3.8709,3.2169,4.3921,1.6235,-0.02,-0.1665,2.5297,1.7397,2.0022,3.9631,-2.00E-04,1.2718,-2.445,5.3052,0.3,2.2326,1.71,4.7378,4.4199,5.0292,-7.1999,4.7231,-4.3925,-0.8249,6.4907,3.1366,5.5214,4.4226,5.8525,3.4892,-1.8423,2.3373,2.4458,5.471,5.022,3.0751,2.7085,3.3029,8.1423,5.2098,2.5798,4.6554,3.9881,5.2669,-0.4856,5.1076,0.2513,5.1189,6.7905,-0.5417,1.4111,7.1213,-0.022599265,0.010601128,-0.000874672
TRAIN_0232,3.8973,0.823,0.6325,4.5257,-1.1331,5.242,4.4817,3.4969,2.8043,2.7815,4.642,-1.1331,0.6988,1.7545,4.4651,0.2004,3.4543,-3.455,1.8005,1.0935,5.9759,2.6784,3.3601,2.0748,4.1375,7.0731,5.8151,-5.7769,5.7432,-3.455,-0.1622,6.8279,-0.7325,5.6902,3.8687,6.1993,1.0935,-0.9189,1.403,2.7506,6.152,4.2905,2.8705,2.7891,3.0465,7.5761,5.2406,3.1449,4.2824,3.1685,5.1736,-0.9189,1.9979,-1.3846,5.4049,4.5027,1.2999,0.056,6.9045,-0.031789579,-0.010095862,0.027977964
TRAIN_0233,6.4085,2.0065,0.4347,5.2591,-0.9321,4.4487,4.4402,4.7881,3.4112,3.2279,3.9259,-4.4431,-0.4252,-0.3221,2.9056,2.3668,2.877,-1.907,-1.907,-2.6776,4.9324,0.9145,4.3917,0.3949,3.7905,7.4179,5.8145,-5.1801,6.1375,-5.1801,-1.4796,6.9596,-0.6989,5.3268,3.4457,6.0881,2.2094,-2.3727,0.2008,2.638,5.1587,3.9957,2.8105,0.9965,2.2601,7.8768,5.1572,1.6654,3.6284,2.8625,5.2466,-1.0371,1.5614,-3.5951,6.2394,5.2047,0.1538,0.2237,7.1713,-0.023056704,0.040650726,-0.037897753
TRAIN_0234,5.1949,3.0352,6.369,3.7722,-1.021,5.0267,2.8742,4.5261,4.1157,3.7879,2.4384,-0.856,1.3858,3.4364,2.4224,4.5739,4.9905,-0.6392,2.4304,-1.4216,5.1748,0.2744,0.4103,0.8534,4.2621,6.0941,6.2191,-3.7435,5.5906,-6.0654,-2.606,6.8875,2.3817,5.2593,5.1831,6.3416,2.758,-1.6731,1.9289,1.5712,5.141,5.1126,3.3545,3.5621,2.9204,8.3174,5.2171,2.1682,5.0938,3.1318,5.4703,0.7801,5.5359,0.6488,5.4058,5.9086,1.0114,0.5044,6.6771,-0.02038172,0.037144405,0.001005111
TRAIN_0235,5.9004,2.3109,2.2782,4.1261,0.3012,4.7034,4.0565,4.1676,3.6087,4.7718,3.4091,-2.4058,1.1721,2.3237,4.087,3.4182,4.7788,-2.7928,3.7344,-0.3847,5.4518,1.1578,2.2979,2.3863,4.2971,7.4966,5.8728,-3.3233,5.9359,-3.3233,-0.4709,6.5944,3.4537,5.3329,4.0851,6.0721,0.9906,-0.4272,2.5208,2.654,5.5819,4.78,2.9435,3.5955,2.7475,7.9395,4.9971,2.4639,4.3181,3.3817,5.2918,-0.8785,3.9445,0.562,5.8788,5.8491,-2.5864,0.4256,6.4781,-0.007081656,0.046437146,0.005613509
TRAIN_0236,4.7926,1.5103,3.8229,1.7567,-1.4838,4.4316,-0.8233,4.8788,5.1577,5.4579,4.8675,0.3034,0.5277,4.0688,2.2094,3.5349,5.4031,-4.1161,-0.372,-3.2681,4.899,1.184,2.4719,-0.6567,3.8714,5.0188,6.1067,-3.2681,6.1434,-3.2681,-0.5554,7.9163,-1.0118,5.4737,4.5499,5.9795,2.9861,-3.6307,1.3235,0.5954,4.456,4.104,3.3996,6.2425,2.3531,7.2913,4.6111,2.8404,5.4617,2.7041,5.3713,4.0608,5.2878,-0.8233,5.9015,5.9038,1.9924,0.7015,5.6682,-0.016967934,-0.010650096,0.001933886
TRAIN_0237,5.1926,3.3371,4.1565,6.6383,-3.4193,5.3014,-0.4395,3.7293,2.4192,5.2089,0.6105,-0.2854,0.9106,3.9967,0.5504,5.8766,4.7423,-2.0656,-1.1629,-3.4193,6.178,1.3356,1.5857,-1.3038,3.6142,4.8418,5.6471,-5.0042,5.798,-5.0042,0.422,7.2778,1.8413,5.6732,4.3715,6.1214,2.7837,1.3938,3.0708,1.5349,5.3755,6.0257,2.8223,5.0214,3.5465,8.1475,4.8004,3.3952,4.9161,2.9939,4.8397,1.7902,6.029,0.6869,4.9726,5.7454,-1.0346,1.7282,6.3005,0.010849861,-0.012468082,-0.009636034
TRAIN_0238,8.1249,0.6401,-0.311,6.841,-0.8674,5.223,4.244,4.4151,4.2423,4.1906,4.7565,-3.3699,-0.8674,4.1193,3.4756,2.4403,3.5032,-3.7325,-4.2179,-1.2544,5.1383,1.4545,1.1396,3.5276,5.5807,4.9129,6.7085,-6.5398,7.5441,-1.785,-1.6819,8.767,-1.785,5.3278,4.4049,6.3717,3.1202,-6.5398,-3.0804,2.1432,5.7278,3.4531,2.4346,1.5634,4.869,9.0107,5.2671,2.4403,4.3481,3.0545,4.9252,-0.7585,0.03,1.0526,5.9091,4.4609,-0.2361,0.355,7.8618,-0.058079303,0.007637273,-0.091259262
TRAIN_0239,5.1105,0.7779,1.8818,4.9246,-0.0504,4.7851,5.3538,4.4104,3.477,1.4745,4.8278,-2.4952,0.2176,1.986,3.0998,2.5098,4.932,-3.3432,0.3573,0.3122,5.9656,4.0747,2.3956,1.4117,4.3278,6.7848,5.7342,-5.6651,5.7815,-5.6651,-1.4172,7.1469,1.3683,5.8765,2.7229,5.8619,2.4487,-4.0801,-1.7582,2.5685,6.0192,3.113,2.3738,1.3683,2.7654,7.9146,5.0705,3.8799,3.7591,2.9161,5.9711,1.7012,2.6157,-1.9647,6.964,5.1999,-2.4952,-0.1105,7.5708,-0.035356544,0.009812892,0.021449281
TRAIN_0240,5.2488,2.302,2.8895,4.5755,-1.2956,4.8004,3.5896,4.7389,3.9254,3.0124,2.017,-0.873,0.5844,2.8275,2.799,2.2185,3.8459,-4.0429,2.0476,-1.721,5.4866,0.8151,1.9409,0.2478,4.3876,5.7775,4.8155,-6.8502,4.6768,-4.5283,-0.7005,6.5419,1.2635,5.5637,4.4598,6.0895,1.5117,0.1155,1.5291,3.5496,4.3804,4.7631,3.0671,2.5739,3.1313,7.7446,3.996,3.887,4.0286,5.1402,4.5329,2.9968,3.9369,0.5506,5.0343,5.6389,0.3689,0.3689,7.0187,-0.016442105,0.003075097,0.007360607
TRAIN_0241,5.7928,1.8492,2.7196,4.8049,-1.4476,6.1241,2.8365,4.517,4.5625,2.9775,1.7551,-3.4982,0.3526,2.8867,1.4823,0.4888,4.7706,-3.9836,-2.6051,-3.4982,5.5512,0.0343,1.4155,-3.1356,3.9553,4.6333,5.5022,-6.3056,5.0393,-4.7206,0.5146,7.2644,0.2643,5.8182,4.6006,6.476,2.3914,0.6831,0.0695,2.0476,4.7759,4.8321,3.2548,1.1291,3.3651,7.8368,4.1405,4.7036,4.5485,3.9717,4.7732,-1.4476,2.8108,-0.2832,4.7625,5.5442,1.899,-0.948,7.0012,-0.013966808,-0.00955337,0.018907449
TRAIN_0242,6.6938,0.0127,2.3771,4.7929,1.654,5.3157,1.7214,4.0798,3.7329,2.9153,3.5778,-2.594,0.2134,3.0314,1.612,0.9353,4.4887,0.4223,-3.246,-3.246,5.0571,1.5089,3.1536,1.7082,4.314,5.297,5.2338,-6.0534,6.8783,-3.7315,-6.0534,7.0186,1.4142,5.1046,4.0564,6.3387,2.8565,-4.4684,-0.9241,0.6881,5.4756,3.8994,2.8323,5.0187,3.2481,7.7279,5.3849,1.6948,4.978,2.7507,5.1591,2.0181,3.8093,-0.4988,5.2372,6.1404,-2.1465,0.5165,7.178,-0.041974633,0.028204252,-0.085540271
TRAIN_0243,5.192,2.09,3.2086,4.6293,-4.2966,5.169,2.6615,4.1001,3.5718,3.3497,1.1519,-1.1266,0.4223,2.7731,1.9827,4.1367,4.1724,-1.4892,-0.1002,-2.4221,5.1332,0.964,1.6807,-0.9273,4.2972,4.7396,5.5805,-4.2966,4.837,-5.8815,-2.4221,7.1009,1.061,5.6898,4.7451,6.1625,1.8532,0.0492,1.5697,2.8015,5.2264,5.6907,3.2758,2.646,3.1269,7.3057,4.4968,4.2439,4.695,3.8379,4.5666,-0.6721,5.1785,-0.524,4.4211,5.3998,-3.0742,-0.1536,7.1162,-0.01020436,0.030524095,0.025995018
TRAIN_0244,4.5479,0.9391,1.1488,4.504,-0.4802,4.1502,3.256,4.8257,3.2408,3.555,2.8317,-1.1515,0.9137,4.2522,1.7589,0.7518,3.2306,-3.0991,2.1434,1.773,5.9394,0.503,2.9359,-2.7365,4.0434,5.9037,3.7713,-5.9064,3.8061,-5.9064,-0.4146,6.9722,0.5365,5.4373,3.0964,5.9173,1.9328,-1.0485,0.5365,2.165,3.9185,3.0094,3.3296,1.4423,2.741,6.8255,3.4356,4.4632,3.8333,5.0971,3.1407,-1.3829,2.2685,-0.234,4.7509,4.3545,0.9391,0.4334,8.0155,-0.030344159,-0.001375424,0.008671843
